Trajectory,Time,Protein1,Protein2
1,10,0.0,0.08269592988110433
1,11,0.0,0.09335395532360409
1,12,0.0,0.10604752960810972
1,13,0.0,0.11647562433654653
1,14,0.0,0.1249058036422506
1,15,0.0,0.13157760130776497
1,16,0.0,0.1367053164171732
1,17,0.07431853886792485,0.14048053644321956
1,18,0.17832201515415208,0.1430744140506618
1,19,0.2669809183837316,0.14463972137716202
1,20,0.3704492467376097,0.14874807133755247
1,21,0.4991037563983385,0.15697296179297734
1,22,0.6078125344819372,0.1633187158817952
1,23,0.6985190875973836,0.168018003154235
1,24,0.7733130314943613,0.1712786949522989
1,25,0.834066512411373,0.17328635653161725
1,26,0.8824558326528615,0.1742064953313969
1,27,0.9199809707509435,0.17418658894733416
1,28,1.003013032003884,0.17335791410164944
1,29,1.0772545388610473,0.17183719585994664
1,30,1.1395711778139972,0.16972809449577744
1,31,1.2938707700768959,0.1671225457318908
1,32,1.4351764511805025,0.16410196857528764
1,33,1.5500762450253909,0.16073835359607902
1,34,1.641719786589269,0.15709524326393992
1,35,1.7129255293987051,0.15322861483814848
1,36,1.7662138307827944,0.1491876752964863
1,37,1.8038368089052,0.1450155768744158
1,38,1.8282539598736944,0.14075006095968345
1,39,1.8408591454655614,0.1364240373404561
1,40,1.8431285883992132,0.13206610512969516
1,41,1.836494075468782,0.12770102107787315
1,42,1.8222290706956623,0.12335012043412744
1,43,1.8014648762345917,0.1190316950169317
1,44,1.775205200354935,0.11476133270427241
1,45,1.7443392869178067,0.11055222214555979
1,46,1.7096537459222472,0.10641542612893216
1,47,1.6718432112679265,0.10236012670448107
1,48,1.6845872541867062,0.0983938448628334
1,49,1.6943261330078336,0.0945226372964122
2,10,0.0038327939513932013,0.27392802802989685
2,11,0.017316962571987875,0.30236899185730076
2,12,0.03694294605219591,0.3254322424695064
2,13,0.05365798997557722,0.3437607904348222
2,14,0.0677904415830722,0.35946410105258036
2,15,0.0796348594856127,0.3715064684604701
2,16,0.08945535652425488,0.38013744259420984
2,17,0.09748861798057215,0.4002371078496762
2,18,0.1077202597781767,0.4162180821330439
2,19,0.12090293059863548,0.4280297134827241
2,20,0.13168265583260588,0.45434886081245607
2,21,0.1403445448272742,0.480820468132692
2,22,0.14714378685062612,0.5013577705520658
2,23,0.15230863751682616,0.5166932199598363
2,24,0.15604311393940976,0.5274812898252303
2,25,0.16677183811114302,0.5343063079081022
2,26,0.17660785546961655,0.5376895227225491
2,27,0.1842484223307675,0.538095477760705
2,28,0.18996431749261455,0.5359377603813575
2,29,0.19399749954645779,0.5315841858449203
2,30,0.19656400145683217,0.5253614711677441
2,31,0.1978565419899075,0.5175594482160544
2,32,0.21531969862072825,0.5084348607098825
2,33,0.27181584850909085,0.4982147855121685
2,34,0.31916151296154716,0.49976482693955265
2,35,0.35841306229300507,0.5008521504774099
2,36,0.4096499642389471,0.4994542351705798
